"Date","Win7","Win8.1","WinXP","OS X","Win10","Win8","WinVista","Unknown","Linux","Chrome OS","Win2003","Win98","Win2000","WinCE","Other"
2015-08-06,54.23,14.6,10.1,8.04,3.59,3.42,1.87,2.13,1.54,0.27,0.12,0.03,0.01,0.01,0.02
2015-08-07,53.71,14.51,10.14,7.94,4.13,3.43,1.87,2.23,1.58,0.27,0.11,0.03,0.02,0.01,0.02
2015-08-08,51.96,15.24,10.1,7.66,4.84,3.66,2,2.48,1.59,0.27,0.1,0.04,0.02,0.01,0.03
2015-08-09,51.19,15.72,9.22,8.06,5.34,3.76,2.1,2.57,1.58,0.29,0.08,0.03,0.01,0.01,0.02
2015-08-10,53.48,14.25,9.78,8.45,4.76,3.36,1.86,2.13,1.48,0.27,0.1,0.03,0.01,0.01,0.02
2015-08-11,53.45,14.09,9.72,8.56,4.87,3.33,1.87,2.15,1.49,0.28,0.1,0.03,0.01,0.01,0.02
2015-08-12,53.44,14.03,9.9,8.56,4.96,3.33,1.86,1.9,1.54,0.27,0.12,0.03,0.02,0.01,0.01
2015-08-13,53.61,13.97,9.9,8.49,5.2,3.33,1.86,1.68,1.5,0.28,0.11,0.03,0.02,0.01,0.02
2015-08-14,53.61,14.1,9.77,8.05,5.44,3.4,1.91,1.76,1.44,0.29,0.1,0.07,0.02,0.01,0.01
2015-08-15,51.55,14.99,9.36,8.17,6.19,3.64,2.06,2.01,1.48,0.3,0.09,0.12,0.02,0.02,0.02
2015-08-16,50.84,15.47,9,8.36,6.55,3.61,2.11,2.02,1.5,0.3,0.07,0.11,0.02,0.01,0.02
2015-08-17,53.37,13.99,9.7,8.33,5.77,3.29,1.89,1.71,1.41,0.29,0.11,0.09,0.02,0.01,0.02
2015-08-18,53.5,13.81,9.66,8.44,5.75,3.3,1.88,1.71,1.41,0.3,0.11,0.08,0.02,0.01,0.02
2015-08-19,53.68,13.58,9.79,8.22,5.72,3.35,1.93,1.68,1.49,0.3,0.12,0.08,0.02,0.01,0.02
2015-08-20,53.74,13.57,9.86,8.07,5.84,3.35,1.91,1.66,1.46,0.3,0.11,0.09,0.02,0.01,0.01
2015-08-21,53.65,13.59,9.97,7.82,5.94,3.39,1.85,1.71,1.52,0.31,0.11,0.09,0.02,0.01,0.02
2015-08-22,51.76,14.53,9.89,7.51,6.74,3.63,1.96,1.92,1.52,0.3,0.09,0.1,0.01,0.01,0.02
2015-08-23,50.75,15,8.93,8.28,7.26,3.61,2.11,1.97,1.56,0.31,0.08,0.09,0.02,0.01,0.02
2015-08-24,53.42,13.45,9.69,8.37,6.26,3.28,1.92,1.62,1.45,0.31,0.11,0.08,0.02,0.01,0.02
2015-08-25,53.42,13.39,9.76,8.37,6.25,3.24,1.86,1.65,1.49,0.32,0.13,0.08,0.02,0.01,0.02
2015-08-26,53.51,13.31,9.76,8.28,6.34,3.24,1.82,1.66,1.52,0.33,0.12,0.08,0.02,0.01,0.02
2015-08-27,53.63,13.27,9.71,8.1,6.35,3.36,1.87,1.65,1.47,0.34,0.12,0.08,0.02,0.01,0.02
2015-08-28,53.39,13.39,9.72,7.99,6.56,3.29,1.86,1.71,1.48,0.36,0.11,0.09,0.02,0.01,0.02
2015-08-29,51.43,14.27,9.52,7.79,7.45,3.54,2.02,1.92,1.52,0.3,0.09,0.09,0.02,0.01,0.02
2015-08-30,50.51,14.73,8.82,8.4,7.82,3.54,2.09,2,1.53,0.33,0.09,0.1,0.02,0.01,0.02
2015-08-31,53.01,13.33,9.41,8.54,6.81,3.27,1.92,1.67,1.46,0.35,0.12,0.08,0.02,0.01,0.02
2015-09-01,53,13.36,9.42,8.65,6.69,3.23,1.88,1.67,1.48,0.37,0.12,0.09,0.02,0.01,0.02
2015-09-02,53.01,13.29,9.51,8.58,6.68,3.27,1.87,1.68,1.49,0.38,0.12,0.09,0.02,0.01,0.02
2015-09-03,53.12,13.33,9.45,8.52,6.7,3.25,1.81,1.69,1.47,0.39,0.11,0.09,0.02,0.01,0.02
2015-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
